Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total,Continent
Nigeria,188737,190897,193678,192682,194026,192466,189615,178658,161712,147298,137344,126888,115383,106297,97393,87748,79364,70336,2650522,Africa
Democratic Republic of the Congo,84607,85026,89041,93806,100469,100092,99698,90099,78775,68117,56528,47720,42513,40285,39768,39372,39274,38637,1233827,Africa
Burkina Faso,38283,38378,37782,36525,34967,33711,33230,33198,33021,32501,30573,27350,23093,19057,17122,14604,12773,11651,507819,Africa
Uganda,41884,39101,36515,33765,33154,31844,29400,26981,24406,20892,17253,13939,11212,9487,9074,8713,8834,8949,405403,Africa
Mozambique,34865,33603,31607,28963,25769,22349,19263,16791,15055,14193,13801,13627,13378,13252,12602,11659,10817,10131,341725,Africa
Mali,19710,20288,20898,20714,20571,19810,18582,17795,16517,16518,16938,18598,18963,18905,17339,15240,13035,11458,321879,Africa
Niger,15856,16578,17134,17381,17313,16943,16707,17567,17709,18874,20387,20842,20568,19651,18436,17118,16510,15373,320947,Africa
Côte d'Ivoire,27892,29789,29975,27926,23515,19077,15954,14896,14407,14598,13541,11493,8948,7227,6055,5966,5648,5548,282455,Africa
Cameroon,16441,18187,21013,23182,24400,23930,21679,18037,14689,12394,10794,10260,10669,10808,10917,10678,10184,9704,277966,Africa
Sierra Leone,10419,11259,12144,12972,13775,14508,15135,15696,15866,15290,13980,12597,10627,8846,7627,6949,6563,6363,210616,Africa
United Republic of Tanzania,21997,20589,18539,17162,15188,13303,11678,10274,9316,8677,8136,7597,7192,7648,7568,7466,7339,7201,206870,Africa
Angola,15677,15923,16313,16015,15309,14363,13166,11863,10491,9196,8164,7387,6867,6628,6787,6862,6801,6705,194517,Africa
Guinea,11582,11827,11877,11712,11409,11129,10984,11134,11227,11812,11837,11396,10471,9147,8270,7356,6746,6314,186230,Africa
Malawi,24396,22485,19707,16338,13020,10336,8904,7942,7388,7062,6192,5670,5302,4539,4007,3544,3224,3007,173063,Africa
